Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,011008,2003,9.3,5.5,0.8,9.1,22.2,14.2,24.4,27.1,22.8,8.4,12.2,11.6,167.6
IDCJAC0001,011008,2004,23.0,49.4,16.2,16.8,39.0,14.7,28.0,25.2,31.2,7.0,79.7,9.4,339.6
IDCJAC0001,011008,2005,3.0,0.0,9.0,13.2,8.2,31.7,34.4,42.7,29.2,6.4,7.6,26.8,212.2
IDCJAC0001,011008,2006,122.3,7.8,9.0,61.8,13.1,17.8,26.0,10.0,10.0,2.0,2.0,41.2,323.0
IDCJAC0001,011008,2007,5.8,8.6,74.8,36.8,23.8,45.9,9.8,34.0,4.2,16.8,4.6,8.3,273.4
IDCJAC0001,011008,2008,0.4,12.9,4.6,17.3,1.4,25.2,32.9,11.0,1.0,23.0,80.0,24.0,233.7
IDCJAC0001,011008,2009,14.5,7.2,37.6,21.2,11.2,44.6,33.8,32.0,28.2,8.8,10.6,21.0,270.7
IDCJAC0001,011008,2010,13.4,7.4,42.4,31.3,47.2,20.0,45.6,44.8,90.0,10.8,12.4,16.2,381.5
IDCJAC0001,011008,2011,14.4,233.2,26.6,14.8,21.5,62.3,36.3,15.4,14.6,45.9,11.6,42.8,539.4
IDCJAC0001,011008,2012,null,3.5,40.8,3.2,10.8,29.4,5.5,6.6,1.2,4.6,21.6,2.7,null
IDCJAC0001,011008,2013,16.4,0.8,22.0,20.0,24.4,13.7,36.4,9.7,56.3,5.4,39.2,36.6,280.9
IDCJAC0001,011008,2014,98.6,12.0,2.2,22.6,36.8,24.6,48.7,2.8,6.2,11.2,59.6,9.6,334.9
IDCJAC0001,011008,2015,12.6,5.8,12.4,26.6,15.0,22.3,26.8,57.3,16.4,7.0,50.0,47.4,299.6
IDCJAC0001,011008,2016,11.0,65.4,null,null,null,null,null,null,null,null,null,null,null
